==============================================================================================================
CODIGO    DESCRIPCION                                                 CANTIDAD  DNI       FECHA     ESTADO    
==============================================================================================================
422763    GALLETAS SUAVICREMAS FRESA 158GR                            2         17913944  20190923  N         
675770    JARABE DE MAMEY 1.25KG                                      5         17913944  20191020  N         
696000    MEDIA CREMA NESTLE 1LT                                      1         17913944  20191228  N         
415932    SOPA MARUCHAN CAMARON 71GR                                  1         17913944  20200813  N         
856894    HARINA MAZATL 5KG                                           7         17913944  20201015  N         
434681    ELOTE DORADO DEL MONTE 225GR                                9         17913944  20201129  N         
422763    GALLETAS SUAVICREMAS FRESA 158GR                            3         17913944  20210205  N         
317404    LICUADO LALA CIRUELA PASA Y NUEZ 240GR                      2         17913944  20210322  N         
390920    AGUA NIAGARA 500ML                                          8         17913944  20210422  N         
415932    SOPA MARUCHAN CAMARON 71GR                                  1         17913944  20210704  N         
582920    PINGUINOS MARINELA 40GR                                     6         17913944  20211129  N         
935218    FRIJOL AMARILLO KG                                          1         29847168  20191230  N         
308982    YOGHURT P BEBER FRUGGIS FRESA 150GR                         11        29847168  20200304  N         
961802    ACHIOTE LA EXTRA 1KG                                        1         29847168  20200626  N         
580927    TORTILLAS DE HARINA DEL HOGAR 22P. 840GR                    4         29847168  20210101  N         
620036    SABRITAS ORIGINAL SAL 490GR                                 8         29847168  20210423  N         
422763    GALLETAS SUAVICREMAS FRESA 158GR                            4         29847168  20210802  N         
979865    GALLETAS MARIAS CUETARA 160GR                               9         29847168  20211102  N         
151641    YOGHURT P BEBER LACTIGURT COCO 250G                         4         32821689  20200210  N         
872819    GELATINA DE LECHE VAINILLA DANETTE 100GR                    6         32821689  20200419  N         
422763    GALLETAS SUAVICREMAS FRESA 158GR                            4         32821689  20200428  N         
992564    LECHUGA ROMANA                                              2         32821689  20201010  N         
882099    NESQUIK CHOCOLATE 200GR                                     1         32821689  20210101  N         
793026    YOGHURT NATURAL LIGHT LALA 1KG                              10        32821689  20210701  N         
406688    CHURROMAIS CON LIMON 38GR                                   9         32821689  20211019  N         
285807    YOGHURT BIOBALANCE NUEZ Y FRU.SECOS 250G                    4         33397650  20190101  N         
947176    SALSA DE CHILE HABANERO ROJO 260GR                          6         33397650  20190201  N         
415932    SOPA MARUCHAN CAMARON 71GR                                  7         33397650  20190605  N         
412041    TORTILLAS DE MAIZ 1KG                                       9         33397650  20190628  N         
941699    MAIZ POZOLERO EXTRA 1KGR                                    3         33397650  20190729  N         
365906    AGUACATE REGIONAL KG.1.000 GR                               11        33397650  20190817  N         
374253    TE DE MANZANILLA NEBO 24 1GR                                9         33397650  20201007  N         
459032    GELATINA DANY LIMON 125GR                                   5         33397650  20201213  N         
179485    MOLE SURTIDO CON ESPECIAS 250GR                             11        33397650  20210115  N         
374253    TE DE MANZANILLA NEBO 24 1GR                                4         33397650  20210324  N         
651034    MANGO EN REBANADAS LA MORENA 800GR                          3         33397650  20211111  N         
178943    YOGHURT P BEBER DURAZNO LIGHT YOP 250GR                     9         33397650  20211226  N         
511824    FLAN LALA SABOR VAINILLA 100GR                              7         33713901  20190319  N         
415932    SOPA MARUCHAN CAMARON 71GR                                  11        33713901  20190506  N         
696000    MEDIA CREMA NESTLE 1LT                                      8         33713901  20191202  N         
536472    SABRITAS CASERAS JALAPENO 42GR                              6         33713901  20191203  N         
126218    TANJERINA                                                   11        33713901  20200126  N         
406688    CHURROMAIS CON LIMON 38GR                                   1         33713901  20200419  N         
785062    CORAZON DE ALCACHOFA SAN MIGUEL                             4         33713901  20200805  N         
901816    JUGO VALLE FRUT CITRUS 12 250ML                             5         33713901  20210902  N         
690039    CORAZONES DE OREJONA PZA                                    8         45783712  20190105  N         
412041    TORTILLAS DE MAIZ 1KG                                       3         45783712  20190701  N         
979865    GALLETAS MARIAS CUETARA 160GR                               10        45783712  20190927  N         
170844    EMPANIZADOR CONTADINA TRADICIONAL 283GR                     9         45783712  20200706  N         
696000    MEDIA CREMA NESTLE 1LT                                      8         45783712  20201002  N         
178943    YOGHURT P BEBER DURAZNO LIGHT YOP 250GR                     1         46462527  20190527  N         
