================================================================================
FALTAS LEVES

================================================================================
--------------------------------------------------------------------------------
LICENCIA       PLACA          CANTIDAD       MONTO          
--------------------------------------------------------------------------------
26522329       U7R-252        1              158.00         
58992942       H8M-598        1              158.00         
70414420       A7Y-514        1              158.00         
51395324       M4Z-108        1              158.00         
79672079       R7U-941        1              158.00         
49927087       X3E-271        1              158.00         
27864822       T9U-338        3              474.00         
64178096       B7V-643        1              158.00         
64532449       J0V-437        1              158.00         
30046639       P6I-223        1              158.00         
37080813       O9W-355        1              158.00         
79766395       H7P-047        2              316.00         
81528434       D6F-465        1              158.00         
88167677       B4C-100        1              158.00         
30046639       P6I-223        1              158.00         
48878256       W6Z-142        1              158.00         
47844324       F1H-328        1              158.00         
25518120       F2C-703        1              158.00         
64532449       J0V-437        1              158.00         
60784914       A8J-929        2              316.00         
49927087       X3E-271        1              158.00         
82031355       H6X-124        1              158.00         
52002275       C0S-417        1              158.00         
73972114       J2M-606        1              158.00         
63291514       L3W-411        1              158.00         
79641328       B4R-105        2              316.00         
29989682       B1J-773        1              158.00         
34976629       J8B-303        1              158.00         
86429854       K1F-766        1              158.00         
36079131       I0W-872        1              158.00         
73818744       U5N-536        1              158.00         
87282766       S1D-093        1              158.00         
48878256       W6Z-142        1              158.00         
54141214       J7Y-327        1              158.00         
67185679       F1F-571        1              158.00         
73567806       Q9D-870        2              316.00         
30441350       X0F-315        1              158.00         
--------------------------------------------------------------------------------
================================================================================
FALTAS GRAVES

--------------------------------------------------------------------------------
LICENCIA       PLACA          CANTIDAD       MONTO          
--------------------------------------------------------------------------------
81485316       J5T-691        1              316.00         
25518120       E1J-798        2              632.00         
58992942       Q6B-243        4              1264.00        
15029228       C0P-895        4              1264.00        
27864822       S3D-133        3              948.00         
53853385       O5L-856        7              2212.00        
16477908       X9D-758        2              632.00         
63291514       Z1A-459        1              316.00         
82870470       C4O-436        4              1264.00        
30441350       M9Z-497        3              948.00         
88854166       H3E-885        3              948.00         
44188994       M0X-657        1              316.00         
73972114       A2F-518        4              1264.00        
54447051       G3Y-654        4              1264.00        
89941095       P6T-244        2              632.00         
47528229       U0N-343        3              948.00         
45043076       S7E-946        3              948.00         
79641328       L0L-653        2              632.00         
47528229       U0N-343        1              316.00         
82870470       C4O-436        1              316.00         
32090869       L4B-291        1              316.00         
70414420       U5T-348        1              316.00         
16925690       R7N-113        4              1264.00        
